iter	Passed	Remaining
0	0	83
1	1	83
2	2	79
3	3	77
4	3	74
5	4	72
6	5	71
7	6	69
8	6	69
9	7	69
10	8	69
11	9	69
12	10	69
13	11	68
14	11	67
15	12	65
16	13	64
17	14	63
18	14	62
19	15	62
20	16	61
21	17	60
22	17	59
23	18	58
24	19	57
25	20	57
26	20	56
27	21	55
28	22	54
29	23	53
30	23	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	49
36	28	48
37	29	47
38	29	46
39	30	46
40	31	45
41	32	44
42	33	43
43	33	43
44	34	42
45	35	41
46	36	40
47	36	40
48	37	39
49	38	38
50	39	37
51	40	36
52	40	35
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	44	31
59	45	30
60	46	29
61	47	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	20
73	56	20
74	57	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	71	6
92	71	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	76	0
99	77	0
